verification_status	already_in_corpus	name	organization	location	category	living_or_deceased	claimed_main_url	claimed_blog_or_articles_url	archive_url	other_urls	claimed_written_content_exists	claimed_licensing_status	claimed_platform_size	discovery_paths	corpus_match_notes	claims_source	notes	date_added	agent_verified_has_blog	agent_verification_notes	reviewed_at	review_notes	auto_link_check	auto_link_check_at	site_visited_by_human	author_identity_confirmed	licensing_posture_confirmed	content_type_confirmed	clearance_checked_at	clearance_cost_lane	blog_index_url
unverified	FALSE	Dan McCollam	Prophetic Company / Bethel		practitioner_teacher	unknown	https://danmccollam.com/	https://propheticcompany.com/blogs/news			TRUE	standard copyright	small/medium	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, training manuals	2026-08-19	True	real_url: https://www.propheticcompany.com/blog | authorship: mixed | scale: Active multi-author team blog, May 2024-Aug 2026; he's ~5-6 of ~12 posts on page 1. | red_flags: Claimed URL wrong. Multi-author -- ingestion needs to filter to his own bylined posts only.			check_failed	2026-08-25T18:29:55.591419+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	TRUE	Randy Clark	Global Awakening		practitioner_teacher	unknown	https://globalawakening.com/	https://globalawakening.com/blog/			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)	Matches existing corpus source 'Randy Clark' (id 77c8fae6-34fd-4597-8dbd-1c439d8f3aca).	Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, academic papers	2026-08-19	False	real_url: https://globalawakening.com/blog/ | authorship: mixed | scale: ~13 recent posts, but almost all by a staff writer (Ana Sakore), not Clark. | red_flags: Misattribution risk -- org blog, not his personal writing.			looks_like_blog	2026-08-25T18:29:56.050646+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Heidi Baker	Iris Global		practitioner_teacher	unknown	https://www.irisglobal.org/	https://www.irisglobal.org/blogs/news			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	missions letters, articles	2026-08-19	False	real_url: https://www.irisglobal.org/ | authorship: mixed | scale: Minimal written content; the one substantive piece is by her husband Rolland Baker. | red_flags: Family-byline misattribution risk -- not confidently her own writing.			check_failed	2026-08-25T18:29:56.493768+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Ché Ahn	Harvest International Ministry		practitioner_teacher	unknown	https://cheahn.org/	https://cheahn.org/blog/			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, apostolic letters	2026-08-19	False	real_url: https://www.cheahn.org/ | authorship: single but PDF-only | scale: 2 downloadable PDF devotionals, no readable web articles. | red_flags: Claimed blog URL dead; devotionals are downloads only, News is press releases.			check_failed	2026-08-25T18:29:57.000863+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Billy Wilson	Empowered21 / Oral Roberts University		practitioner_teacher	unknown	https://www.billywilson.org/	https://www.billywilson.org/blog			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	academic & ministry essays	2026-08-19	False	real_url: unresolved -- billywilson.org 404s everywhere | authorship: unclear | scale: None -- domain non-functional. | red_flags: Both claimed URLs dead; his real books are on a different domain (drbillywilsonbooks.com), bio at oru.edu.			check_failed	2026-08-25T18:29:57.571985+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Ken & Jen Hodges	Christalignment	Australia	practitioner_teacher	unknown	https://www.kenandjenhodges.com/	https://www.kenandjenhodges.com/blog			FALSE	standard copyright	small local	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	NO written content, audio/video only	2026-08-19					check_failed	2026-08-25T18:29:57.631764+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Sean Feucht	Let Us Worship / Bold		practitioner_teacher	unknown	https://www.seanfeucht.com/	https://www.letusworship.us/			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	blog posts, op-eds -- Source list tags this as '[ALSO APPEARS IN SEED D]' -- could not independently confirm a second appearance in Seed D as pasted; flagged for Alex to check original research notes.	2026-08-19	True	real_url: https://www.seanfeucht.com/op-ed | authorship: single | scale: ~20 pieces, active through 2026. | red_flags: Claimed URL wrong (was letusworship.us, no blog there). Content skews political/op-ed rather than devotional -- verify fit.			looks_like_blog	2026-08-25T18:29:57.957387+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Brian & Jenn Johnson	Bethel Music		worship_leader_musician	unknown	https://bethelmusic.com/	https://bethelmusic.com/blog			TRUE	CCLI royalty	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	no written content, lyrics/video	2026-08-19	False	real_url: https://bethelmusic.com/ | authorship: mixed (org) | scale: None -- lyrics/video/music only. | red_flags: Confirms existing no-content flag.			check_failed	2026-08-25T18:29:58.348481+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Bob Hasson	Bolz Ministries / author		practitioner_teacher	unknown	https://bobhasson.com/	https://bobhasson.com/blog/			TRUE	standard copyright	small/medium	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	business & faith articles	2026-08-19	True	real_url: http://bobhasson.com/blog/ (could not load directly) | authorship: single (inferred, not confirmed) | scale: Real content likely exists (search-indexed titles) but unconfirmed by direct read. | red_flags: SSL certificate expired on every direct fetch attempt -- needs manual re-check before any ingestion decision.			check_failed	2026-08-25T18:29:58.742988+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Todd Lollar	Mobilize Ministries	Ojai CA & DFW TX	practitioner_teacher	unknown	https://toddlollar.com/	https://mobilizefaith.org/blog/			TRUE	OPEN LICENSE / YouVersion partner	~21,000 followers	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	extensive devotional blog -- Source list tags this as '[ALSO APPEARS IN ROUND 2]' -- could not independently confirm a second appearance in the Round 2 list as pasted; flagged for Alex to check original research notes.	2026-08-19	unclear -- unverified	real_url: https://www.toddlollar.com/ (DNS failure on direct fetch) | authorship: unclear | scale: Could not verify directly. | red_flags: Both claimed URLs dead; domain exists per search index but no blog/articles section found there either. Needs manual check.			check_failed	2026-08-25T18:29:59.160746+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Johannes Hartl	Gebetshaus Augsburg	Germany	practitioner_teacher	unknown	https://johanneshartl.org/	https://johanneshartl.org/blog/			TRUE	standard copyright	medium European	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	theological essays, blog	2026-08-19	False	real_url: https://johanneshartl.org/ | authorship: single | scale: No article archive located. | red_flags: Claimed blog URL dead; site is a speaking/tour promo hub. EN/DE toggle implies translation if content is found later.			check_failed	2026-08-25T18:30:00.634002+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Steve Cuss	CapCity Church	Austin TX	practitioner_teacher	unknown	https://www.stevecusswords.com/	https://www.stevecusswords.com/blog			TRUE	standard copyright	SMALL LOCAL CHURCH	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	leadership articles, blog	2026-08-19	False	real_url: https://www.stevecusswords.com/ | authorship: unclear | scale: None on his own domain -- writing exists only on third-party platforms (CT, Missio Alliance). | red_flags: No blog/articles section anywhere on his personal domain.			check_failed	2026-08-25T18:30:01.010281+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Lance Wallnau	Lance Learning Group		practitioner_teacher	unknown	https://lancewallnau.com/	https://lancewallnau.com/blog/			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	commentary articles, blog	2026-08-19	False	real_url: https://lancewallnau.com/blog/ (podcast archive, not essays) | authorship: single host, occasional guests | scale: Very large volume but as podcast episodes, not written content. | red_flags: Sampled episode has only ~200 words of show-notes prose -- fails the written-content bar. Heavily monetized.			looks_like_blog	2026-08-25T18:30:03.478557+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Eric Metaxas	Metaxas Media / Socrates		practitioner_teacher	unknown	https://ericmetaxas.com/	https://ericmetaxas.com/articles/			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, transcripts	2026-08-19	True	real_url: https://ericmetaxas.com/watch-read/articles/ | authorship: single | scale: Substantial, multiple sections (blog/articles/humor/poems), active through Oct 2025. | red_flags: Mix of serious essays and humor/satire/poetry -- may want to filter by category.			check_failed	2026-08-25T18:30:06.034315+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Lou Engle	Lou Engle Ministries / TheCall		practitioner_teacher	unknown	https://louengle.com/	https://louengle.com/blog/			TRUE	standard copyright / some free ebooks	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	teaching notes, ebooks	2026-08-19	False	real_url: https://louengle.com/ | authorship: mixed | scale: Minimal free content; main library is paid membership. | red_flags: Only free devotional series found ('Treading Times') is by Doug Dayton, not Lou Engle -- misattribution risk.			check_failed	2026-08-25T18:30:07.006815+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Jonathan Cahn	Hope of the World Ministries		practitioner_teacher	unknown	https://www.hopeoftheworld.org/	https://www.hopeoftheworld.org/articles.php			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, prophetic writings	2026-08-19	False	real_url: https://www.hopeoftheworld.org/ | authorship: unclear | scale: None -- video/paid product site. | red_flags: Claimed articles URL is dead. 'Daily Sapphires' sits behind a signup/paywall-adjacent gate.			check_failed	2026-08-25T18:30:07.580362+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Dean Briggs	Lou Engle Ministries		practitioner_teacher	unknown	https://deanbriggs.com/	https://deanbriggs.com/blog/			TRUE	standard copyright	small/medium	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	blog, prayer guides	2026-08-19	True	real_url: https://deanbriggs.com/blog/ | authorship: single (presumed, no counter-evidence) | scale: ~10 posts, Sept 2020-Jan 2024. | red_flags: Appears to have stopped posting after early 2024.			check_failed	2026-08-25T18:30:07.954773+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Matt Lockett	Justice House of Prayer DC	Washington DC	practitioner_teacher	unknown	https://mattlockett.com/	https://mattlockett.com/blog/			TRUE	standard copyright	small local	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, historic essays	2026-08-19	True	real_url: https://www.contendglobal.com/blog | authorship: mixed | scale: Only 1 of 7 visible posts is his own byline; rest are other team members. | red_flags: Claimed main URL redirects to an unrelated book-promo site. Very little of his own individual writing exists.			check_failed	2026-08-25T18:30:08.256679+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Dick Eastman	Every Home for Christ		practitioner_teacher	unknown	https://www.everyhome.org/	https://www.everyhome.org/stories/			TRUE	standard copyright	large	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, prayer guides	2026-08-19	False	real_url: https://www.everyhome.org/stories/ | authorship: mixed | scale: ~6-8 field-report stories, not his essays. | red_flags: Testimonial/impact reporting, not his own teaching writing.			looks_like_blog	2026-08-25T18:30:10.514080+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Chris Berglund	Ascendance Ministries		practitioner_teacher	unknown	https://ascendpraise.com/	https://ascendpraise.com/articles/			TRUE	standard copyright	small local	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	teaching blogs, dream notes	2026-08-19	False	real_url: https://ascendingzion.com/ (claimed domain doesn't resolve) | authorship: unclear | scale: None free -- content delivered via $25/month paid membership. | red_flags: Claimed domain doesn't exist. No free written content.			check_failed	2026-08-25T18:30:10.658133+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Will Ford	818 Texas / JHOP DC		practitioner_teacher	unknown	https://willford222.com/	https://willford222.com/blog/			TRUE	standard copyright	small local	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	historical articles, blog	2026-08-19	False	real_url: https://willfordministries.com/articles/ (compromised) | authorship: n/a | scale: Minimal legitimate content. | red_flags: SIGNIFICANT: claimed domain has no DNS record. Real domain's /articles/ appears hijacked with unrelated spam (gambling) content -- signs of a compromised/resquatted site. Do not ingest.			check_failed	2026-08-25T18:30:10.723791+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	David Kim	Contend Global		practitioner_teacher	unknown					TRUE	standard copyright	small youth prayer ministry	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	fast guides, articles | URL research 2026-08-19: flagged AMBIGUOUS by the research pass (multiple people share this name) -- main/blog URLs deliberately left blank rather than guessed.	2026-08-19							FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Scott Volk	Together for Israel		practitioner_teacher	unknown	https://togetherforisrael.org/	https://togetherforisrael.org/blog/			TRUE	standard copyright	small local	Round 1, Seed A (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	articles, ministry letters	2026-08-19	False	real_url: https://togetherforisrael.org/ | authorship: n/a | scale: None -- podcast/Bible-study product only. | red_flags: Claimed blog URL 404s; no blog section exists.			check_failed	2026-08-25T18:30:11.108671+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Francis Chan	Crazy Love / We Are Church		practitioner_teacher	unknown	https://crazylove.org/	https://crazylove.org/resources/			TRUE	standard copyright, some open study PDFs	small house church network	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	books, articles, study guides	2026-08-19	True	real_url: https://crazylove.org/articles/ | authorship: single | scale: 12 articles, modest curated set. | red_flags: Claimed URL wrong (was /resources/).			check_failed	2026-08-25T18:30:12.004396+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Lisa Chan	Crazy Love Ministries		practitioner_teacher	unknown	https://crazylove.org/	https://crazylove.org/resources/			TRUE	unstated	small house church network	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	co-authored books, blog articles	2026-08-19	True	real_url: https://crazylove.org/articles | authorship: MISATTRIBUTION -- all visible articles are actually authored by Francis Chan, not Lisa Chan | scale: 12 articles, none actually hers. | red_flags: Direct misattribution risk -- do not ingest as Lisa Chan content.			check_failed	2026-08-25T18:30:12.678132+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Nathan J'Diim	Mission Connexion		practitioner_teacher	unknown	https://www.fireandfragrance.com/	https://www.fireandfragrance.com/blog			TRUE	standard copyright	small/medium	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	missions articles, guides	2026-08-19	False	real_url: https://www.fireandfragrance.com/ (no blog) | authorship: n/a | scale: None. | red_flags: Purely an org landing page; his name doesn't appear on it at all.			check_failed	2026-08-25T18:30:12.919640+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Carey Nieuwhof	Carey Nieuwhof Leadership		practitioner_teacher	unknown	https://careynieuwhof.com/	https://careynieuwhof.com/blog/			TRUE	standard copyright	large media platform	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	extensive leadership blog, transcripts	2026-08-19	True	real_url: https://careynieuwhof.com/blog/ | authorship: mostly single, occasional guest posts | scale: Very large, 140+ archive pages, confirmed via search (direct fetch bot-blocked). | red_flags: Direct WebFetch returned 403 on every attempt -- content confirmed only indirectly via search, not a direct read.			looks_like_blog	2026-08-25T18:30:13.320028+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Mike Bickle	IHOPKC		practitioner_teacher	unknown	https://www.mikebickle.org/	https://www.mikebickle.org/resources/			TRUE	OPEN ACCESS ARCHIVES / standard copyright	large	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	PDFs, teaching outlines, articles	2026-08-19	False	real_url: https://mikebickle.org/categories | authorship: unclear | scale: Unclear -- category pages likely PDF/audio/video listings, not prose. | red_flags: Claimed URL dead; needs deeper manual verification before any ingestion decision.			check_failed	2026-08-25T18:30:13.938954+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	John Mark Comer	Practicing the Way / Bridgetown	Portland OR	practitioner_teacher	unknown	https://johnmarkcomer.com/	https://practicingtheway.org/resources			TRUE	standard copyright, some free open guides	SMALL LOCAL CHURCH	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	essays, formation guides, blog	2026-08-19	False	real_url: https://practicingtheway.org/resources | authorship: mixed | scale: Substantial resource library but explicitly multi-contributor, much of it paid. | red_flags: Not single-author; his own domain has no blog at all.			looks_like_blog	2026-08-25T18:30:15.023375+00:00	FALSE	FALSE	FALSE	FALSE			
unverified	FALSE	Christine Caine	A21 / Propel Women		practitioner_teacher	unknown	https://christinecaine.com/	https://christinecaine.com/blog/			TRUE	standard copyright	large	Round 1, Seed B (Send Conference network map)		Automated research tool inferring from search results (Round 1-2 Send Conference network-mapping / grassroots pass, 2026-08-19) -- content type, licensing, and platform size are inferred claims, not confirmed by visiting any site. No URLs were captured in this pass.	blog articles, books	2026-08-19	False	real_url: https://christinecaine.com/ (no blog) | authorship: n/a | scale: None on her own domain -- long-form writing is guest posts elsewhere. | red_flags: Claimed blog URL dead; no blog anywhere in current site nav.			looks_like_blog	2026-08-25T18:30:18.826776+00:00	FALSE	FALSE	FALSE	FALSE			
